median_magnitude,locations
1.4,"Geysers, CA"
1.4,"Salcha, Alaska"
1.4,"Cobb, CA"
1.48,"Pāhala, Hawaii"
1.6,"Toyah, Texas"
1.4,"Volcano, Hawaii"
1.4,"Karluk, Alaska"
1.4,"West Yellowstone, Montana"
1.6,"Whites City, New Mexico"
1.4,"Indian Springs, Nevada"
1.4,"Reno, Nevada"
1.4,"Pedro Bay, Alaska"
1.4,"Denali National Park, Alaska"
1.4,"Petersville, Alaska"
1.4,"Adak, Alaska"
1.37,"Borrego Springs, CA"
1.4,"Anza, CA"
1.4,"Cantwell, Alaska"
1.6,"Skwentna, Alaska"
1.4,"Beatty, Nevada"
1.4,"Yakutat, Alaska"
1.55,"Mentone, Texas"
1.4,"Anamizu, Japan"
1.4,"Idyllwild, CA"
1.33,"Little Lake, CA"
1.335,"Searles Valley, CA"
1.33,"Ocotillo Wells, CA"
1.4,"Milford, Utah"
1.4,"False Pass, Alaska"
1.4,"Aykol, China"
