place
"Salcha, Alaska"
"Pala, CA"
"Mina, Nevada"
"Izu Islands, Japan region"
"Toyah, Texas"
"Hiko, Nevada"
"Pāhala, Hawaii"
north of Ascension Island
"Tyonek, Alaska"
"Petersville, Alaska"
"Holtville, CA"
"Aykol, China"
"Geysers, CA"
"Virginia City, Nevada"
"Point MacKenzie, Alaska"
"Westmorland, CA"
"Minto, Alaska"
"Borrego Springs, CA"
"Valdez, Alaska"
"Cabazon, CA"
south of the Fiji Islands
"Cobb, CA"
"Ugashik, Alaska"
"Goldfield, Nevada"
"Denali National Park, Alaska"
"Anza, CA"
"Susitna North, Alaska"
"Yakutat, Alaska"
"Willow, Alaska"
"Solsona, Philippines"
"Avard, Oklahoma"
"Chickaloon, Alaska"
"Pinnacles, CA"
"Coso Junction, CA"
"Aguas Buenas, Puerto Rico"
"Viña del Mar, Chile"
"Floriston, California"
"McCarthy, Alaska"
"Anamizu, Japan"
"Houston, Alaska"
"Denali Park, Alaska"
"Mentone, Texas"
"Cruz Bay, U.S. Virgin Islands"
"Alder, Washington"
"Ocotillo Wells, CA"
"Clear, Alaska"
"San Ardo, CA"
"Amber, Oklahoma"
"King Salmon, Alaska"
"Lae, Papua New Guinea"
"Wildomar, CA"
"Maneadero, B.C., MX"
"Volcano, Hawaii"
"Guánica, Puerto Rico"
"Liborio Negron Torres, Puerto Rico"
"Ferry, Alaska"
"Stevens Village, Alaska"
"La Parguera, Puerto Rico"
"Whites City, New Mexico"
"San Isidro, Costa Rica"
"Sitka, Alaska"
"Harding-Birch Lakes, Alaska"
"Pedro Bay, Alaska"
"False Pass, Alaska"
"Amanda Park, Washington"
"Ridgecrest, CA"
"San Bernardino, CA"
"Petrolia, CA"
"La Libertad, El Salvador"
"Fort Bidwell, California"
"Central, Alaska"
"Salton City, CA"
"Karluk, Alaska"
"Naalehu, Hawaii"
"Home Gardens, CA"
"Redway, CA"
"Lake Elsinore, CA"
"Little Lake, CA"
"Santa Venetia, CA"
"Ollagüe, Chile"
"Tehachapi, CA"
"Kimbe, Papua New Guinea"
"Gustine, CA"
"Toms Place, CA"
"San Antonio de los Cobres, Argentina"
"Idyllwild, CA"
"Knik, Alaska"
"Yorba Linda, CA"
"Funny River, Alaska"
