place,mag
"Salcha, Alaska",1.9
"Pala, CA",1.12
"Mina, Nevada",1.1
"Izu Islands, Japan region",5.3
"Toyah, Texas",2.5
"Hiko, Nevada",1.4
"Hiko, Nevada",1.6
"Pāhala, Hawaii",2.28999996
north of Ascension Island,4.9
"Tyonek, Alaska",1.6
"Petersville, Alaska",1.0
"Holtville, CA",1.79
"Aykol, China",4.3
"Geysers, CA",1.15
"Mina, Nevada",2.4
"Virginia City, Nevada",1.2
"Aykol, China",4.6
"Point MacKenzie, Alaska",2.4
"Westmorland, CA",1.24
"Pāhala, Hawaii",2.18000007
"Minto, Alaska",0.9
"Borrego Springs, CA",0.67
"Valdez, Alaska",1.4
"Salcha, Alaska",1.2
"Cabazon, CA",0.71
"Salcha, Alaska",1.5
"Borrego Springs, CA",0.76
"Salcha, Alaska",1.0
"Geysers, CA",0.79
"Virginia City, Nevada",1.4
south of the Fiji Islands,4.4
"Geysers, CA",0.77
"Petersville, Alaska",2.1
"Salcha, Alaska",1.5
"Cobb, CA",0.77
"Ugashik, Alaska",2.2
"Cobb, CA",0.78
"Salcha, Alaska",0.4
"Cobb, CA",0.71
"Goldfield, Nevada",1.1
"Virginia City, Nevada",1.7
"Denali National Park, Alaska",1.4
"Petersville, Alaska",1.8
"Anza, CA",0.43
"Susitna North, Alaska",1.8
"Geysers, CA",1.53
"Virginia City, Nevada",0.9
"Geysers, CA",1.11
"Yakutat, Alaska",3.3
"Virginia City, Nevada",2.0
"Virginia City, Nevada",1.1
"Willow, Alaska",1.6
"Solsona, Philippines",4.7
"Avard, Oklahoma",1.87
"Chickaloon, Alaska",1.5
"Pinnacles, CA",2.25
"Virginia City, Nevada",1.1
"Geysers, CA",1.29
"Pāhala, Hawaii",1.97000003
"Coso Junction, CA",1.77
"Aguas Buenas, Puerto Rico",2.44
"Viña del Mar, Chile",4.6
"Floriston, California",1.1
"Geysers, CA",0.94
"Mina, Nevada",1.3
"McCarthy, Alaska",1.1
"Pāhala, Hawaii",2.69
"Anamizu, Japan",4.5
"Geysers, CA",0.79
"Cobb, CA",0.26
"Houston, Alaska",1.5
"Virginia City, Nevada",1.1
"Toyah, Texas",1.5
"Virginia City, Nevada",0.9
"Virginia City, Nevada",1.1
"Toyah, Texas",1.7
"Salcha, Alaska",1.4
"Denali Park, Alaska",1.6
"Virginia City, Nevada",0.3
"Cobb, CA",0.4
"Virginia City, Nevada",0.8
"Denali National Park, Alaska",1.2
"Pāhala, Hawaii",1.83000004
"Mentone, Texas",2.0
"Geysers, CA",0.74
"Cruz Bay, U.S. Virgin Islands",3.93
"Ugashik, Alaska",2.0
"Salcha, Alaska",0.8
"Alder, Washington",1.0
"Ocotillo Wells, CA",1.54
"Clear, Alaska",1.3
"Geysers, CA",0.94
"Denali National Park, Alaska",1.2
"Ocotillo Wells, CA",0.99
"Susitna North, Alaska",1.4
"San Ardo, CA",2.38
"Aykol, China",4.1
"Amber, Oklahoma",1.73
"Cruz Bay, U.S. Virgin Islands",3.8
"Pāhala, Hawaii",2.1099999
"Virginia City, Nevada",0.8
"King Salmon, Alaska",1.0
"Pāhala, Hawaii",2.11999989
"Lae, Papua New Guinea",5.1
"Aykol, China",4.7
"Denali Park, Alaska",1.6
"Wildomar, CA",1.13
"Maneadero, B.C., MX",2.73
"Volcano, Hawaii",2.28
"Guánica, Puerto Rico",2.07
"Aykol, China",4.4
"Virginia City, Nevada",1.4
"Denali National Park, Alaska",3.4
"Liborio Negron Torres, Puerto Rico",2.15
"Ferry, Alaska",1.7
"Stevens Village, Alaska",1.7
"Cobb, CA",0.21
"Mentone, Texas",2.4
"Pāhala, Hawaii",1.75
"Virginia City, Nevada",0.5
"La Parguera, Puerto Rico",2.5
"Geysers, CA",0.38
"Whites City, New Mexico",1.6
"Virginia City, Nevada",0.7
"Virginia City, Nevada",2.5
"Geysers, CA",0.79
"Salcha, Alaska",0.9
"San Isidro, Costa Rica",4.5
"Geysers, CA",0.76
"Sitka, Alaska",0.77
"Geysers, CA",0.49
"Harding-Birch Lakes, Alaska",1.4
north of Ascension Island,5.4
"Geysers, CA",0.49
"Pāhala, Hawaii",2.25999999
"Pedro Bay, Alaska",1.3
"Aykol, China",4.7
"Pāhala, Hawaii",2.16000009
"False Pass, Alaska",0.55
"Amanda Park, Washington",1.49
"Ridgecrest, CA",0.54
"Whites City, New Mexico",1.6
"San Bernardino, CA",0.87
"Whites City, New Mexico",1.5
"Petrolia, CA",1.94
"La Libertad, El Salvador",4.7
"Denali National Park, Alaska",1.5
south of the Fiji Islands,4.7
"Fort Bidwell, California",2.8
"Geysers, CA",1.33
"Cabazon, CA",1.51
"False Pass, Alaska",0.27
"Geysers, CA",0.36
"Hiko, Nevada",1.8
"Aykol, China",4.5
"Mina, Nevada",1.6
"Guánica, Puerto Rico",2.53
"Central, Alaska",1.6
"Borrego Springs, CA",0.9
"Borrego Springs, CA",0.91
"Borrego Springs, CA",1.83
"Salton City, CA",0.88
"Karluk, Alaska",0.2
"Central, Alaska",1.9
"Salcha, Alaska",0.9
"Yakutat, Alaska",2.4
"Yakutat, Alaska",2.7
"Borrego Springs, CA",1.24
"Borrego Springs, CA",0.68
"Yakutat, Alaska",2.8
"Borrego Springs, CA",1.78
"Naalehu, Hawaii",1.4
"Home Gardens, CA",0.81
"Aykol, China",5.3
"Pāhala, Hawaii",1.73000002
"Yakutat, Alaska",2.4
"Virginia City, Nevada",2.2
"Redway, CA",1.64
"Lake Elsinore, CA",0.28
"Whites City, New Mexico",3.2
"Little Lake, CA",1.51
"Santa Venetia, CA",1.56
"Ollagüe, Chile",5.0
"Pāhala, Hawaii",1.82
"Tehachapi, CA",1.15
"Kimbe, Papua New Guinea",5.1
"Gustine, CA",2.46
"Coso Junction, CA",1.9
"Geysers, CA",1.08
"Whites City, New Mexico",1.7
"Toms Place, CA",1.74
"San Antonio de los Cobres, Argentina",4.7
"Geysers, CA",0.58
"Idyllwild, CA",0.42
"Pāhala, Hawaii",2.25
"Pinnacles, CA",1.72
"Knik, Alaska",1.8
"Minto, Alaska",0.7
"Yorba Linda, CA",1.12
"Funny River, Alaska",2.0
"Beluga, Alaska",1.4
"Obock, Djibouti",5.4
"Geysers, CA",0.94
"Ocotillo Wells, CA",0.5
"Ocotillo Wells, CA",1.02
